user_loc,user_est,pop_est,metro_micro_area,CBSA_code,CBSA_title,inter_county_connections,outer_county_connections,total connections,coverage est,normed pop_est,rescaled inter_county_connections,rescaled outer_county_connections,rescaled total connections
48357,4605,9955,,,,1377498.3422186999,3482476.654846875,4859974.997065575,0.4625816172777499,0.09314246862984148,0.08314224897243423,0.09501911285189114,0.09132159279257493
48359,849,1710,Metropolitan Statistical Area,11100,"Amarillo, TX",110757.995961312,907423.4958496559,1018181.4918109679,0.4964912280701754,0.015999359252338415,0.006228487000992618,0.023067980099806002,0.017825488129406597
48361,44432,85190,Metropolitan Statistical Area,13140,"Beaumont-Port Arthur, TX",20277796.845636465,38993198.52786699,59270995.373503454,0.5215635637985679,0.797067493980532,1.0855068709038616,0.9436104556546403,0.9877858244265734
48363,14626,28346,Micropolitan Statistical Area,33420,"Mineral Wells, TX",4199741.45337825,11707638.09977666,15907379.553154908,0.515981090806463,0.26521510957121913,0.22725205639822285,0.2863826020253582,0.26797400689505485
48365,11553,22192,,,,4750885.0949445125,11493977.192333646,16244862.287278159,0.5205930064888248,0.20763612896368078,0.25479755147098493,0.27866545162994727,0.2712348672174942
48367,81843,157090,Metropolitan Statistical Area,19100,"Dallas-Fort Worth-Arlington, TX",21851360.158938456,80288895.83074439,102140255.98968284,0.5209943344579541,1.4697890906139426,1.1710205805000022,1.945062730796616,1.7040869642537009
48369,4493,9758,,,,842931.575782268,3754170.804008489,4597102.379790757,0.46044271367083417,0.09129926759316857,0.051113517727730436,0.1029080978469347,0.08678334463780928
48371,6440,15187,,,,2058860.4588565999,4840484.390196,6899344.849052601,0.4240468822018832,0.14209489413173307,0.13556016590209016,0.14407415371052892,0.1414235684191603
48373,27526,51951,,,,9265380.52696695,20761720.625908382,30027101.152875334,0.5298454312717753,0.486071761706569,0.48823973326934916,0.4945671616419668,0.49259729875820457
48375,56909,117741,Metropolitan Statistical Area,11100,"Amarillo, TX",10176474.802982323,47421792.822213605,57598267.62519593,0.48334055256877384,1.1016260571517997,0.5878454763907582,1.238328482940688,1.035819302960706
48377,2730,5850,,,,474724.64614575,2113192.64719836,2587917.29334411,0.4666666666666667,0.05473465007378932,0.028402335400290073,0.05715357981825037,0.0482027065873472
48379,6836,12430,,,,1073738.4294570799,5995552.922721948,7069291.352179027,0.5499597747385359,0.11629943596875235,0.05451131071570281,0.13759715143776838,0.11173076399466857
48381,75037,144774,Metropolitan Statistical Area,11100,"Amarillo, TX",34631382.03618506,77199694.8846841,111831076.92086917,0.5183043916725378,1.3545562785953462,1.8655375187467955,1.8799306253475567,1.8754497454694739
48383,1626,3379,,,,353679.6473145,1384751.901758766,1738431.549073266,0.4812074578277597,0.03161510813663831,0.020520917411305666,0.036320410510769535,0.03140169263581422
